epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,15604.4,1.03577,0.77168,1.06981,1.21841,0.25806,0.21722,0.15184,0.0847,0.25806,0.21722,0.15154,0.08379,2.09089,0.60445,3.18563,2.15881,0.0003095,0.0003095,0.0003095
78,15753.9,0.99194,0.71478,1.04029,1.20178,0.29903,0.16924,0.1712,0.0916,0.29903,0.16924,0.17114,0.09011,2.07768,0.5696,3.19352,2.1137,0.000297125,0.000297125,0.000297125
79,15908.2,1.00048,0.68711,1.0323,1.20403,0.32374,0.18912,0.16837,0.08505,0.32374,0.18912,0.16918,0.08654,2.10313,0.54076,3.29813,2.12916,0.00028475,0.00028475,0.00028475
80,16055.6,0.98475,0.76584,0.99969,1.20717,0.25529,0.20226,0.17281,0.08953,0.25529,0.20226,0.17722,0.09162,2.12005,0.58057,3.28284,2.14569,0.000272375,0.000272375,0.000272375
81,16197.8,0.98902,0.6722,1.01378,1.192,0.21858,0.2933,0.17143,0.09346,0.21858,0.2933,0.17143,0.0937,2.15802,0.5931,3.19258,2.17268,0.00026,0.00026,0.00026
82,16332.8,0.9844,0.65361,0.97956,1.17978,0.24455,0.20435,0.16647,0.09163,0.24455,0.20435,0.16713,0.09449,2.18297,0.56811,3.22973,2.21316,0.000247625,0.000247625,0.000247625
83,16474.6,0.97469,0.74892,0.98036,1.18154,0.39305,0.18286,0.17543,0.10164,0.39305,0.18286,0.17779,0.09947,2.14829,0.57491,3.23804,2.19186,0.00023525,0.00023525,0.00023525
84,16617.7,0.96028,0.67587,0.99464,1.17324,0.26024,0.24853,0.18989,0.10406,0.27227,0.25746,0.19489,0.10467,2.13898,0.55782,3.30092,2.19828,0.000222875,0.000222875,0.000222875
85,16762.7,0.97019,0.70499,0.99139,1.17441,0.25281,0.26376,0.18381,0.09663,0.25281,0.26376,0.18611,0.09212,2.131,0.5574,3.28585,2.21441,0.0002105,0.0002105,0.0002105
86,16910.9,0.96689,0.70741,0.95905,1.17118,0.23697,0.2693,0.17485,0.08361,0.22711,0.24074,0.17153,0.0811,2.1315,0.56841,3.20883,2.19743,0.000198125,0.000198125,0.000198125
87,17058.2,0.97583,0.68239,0.98298,1.18048,0.22948,0.24692,0.168,0.08755,0.24114,0.25433,0.17251,0.08614,2.13041,0.55823,3.18866,2.19385,0.00018575,0.00018575,0.00018575
88,17204.3,0.93084,0.67316,0.9169,1.14311,0.23282,0.24579,0.1748,0.09344,0.23282,0.24579,0.17495,0.09213,2.15467,0.55493,3.14858,2.18735,0.000173375,0.000173375,0.000173375
89,17350.8,0.96057,0.7043,0.93303,1.16794,0.3071,0.21638,0.18365,0.0983,0.3071,0.21638,0.18337,0.09669,2.13338,0.57234,3.14844,2.15359,0.000161,0.000161,0.000161
90,17497,0.9238,0.63882,0.92602,1.16079,0.29151,0.25686,0.18237,0.09732,0.29151,0.25686,0.18237,0.09397,2.12342,0.57911,3.21873,2.1039,0.000148625,0.000148625,0.000148625
91,17639.1,0.85981,0.45288,0.83927,1.1267,0.25981,0.18344,0.16475,0.08751,0.25981,0.18344,0.16458,0.08195,2.10918,0.59818,3.27281,2.14469,0.00013625,0.00013625,0.00013625
92,17782.7,0.86289,0.45587,0.84066,1.13586,0.2602,0.19179,0.15079,0.07609,0.22244,0.21798,0.15344,0.07457,2.14187,0.58612,3.31515,2.20961,0.000123875,0.000123875,0.000123875
93,17922.8,0.87997,0.47139,0.84564,1.16067,0.36331,0.18286,0.16108,0.08341,0.36331,0.18286,0.16503,0.08297,2.13319,0.60733,3.32587,2.18035,0.0001115,0.0001115,0.0001115
94,18060.5,0.85437,0.46892,0.78806,1.12564,0.36856,0.1808,0.16502,0.08455,0.36856,0.1808,0.16502,0.08327,2.13492,0.61599,3.31348,2.15242,9.9125e-05,9.9125e-05,9.9125e-05
95,18186.2,0.83404,0.4029,0.75524,1.11193,0.22536,0.29198,0.16851,0.08619,0.22536,0.29198,0.17133,0.0836,2.15208,0.60215,3.28591,2.1739,8.675e-05,8.675e-05,8.675e-05
96,18382.1,0.79789,0.42807,0.71913,1.07105,0.34943,0.18209,0.17466,0.0918,0.31205,0.22221,0.18088,0.09028,2.16709,0.59687,3.23393,2.20823,7.4375e-05,7.4375e-05,7.4375e-05
97,18516,0.82179,0.50079,0.76131,1.0912,0.27266,0.22221,0.17097,0.088,0.29122,0.23114,0.17861,0.08649,2.14472,0.59149,3.25247,2.19774,6.2e-05,6.2e-05,6.2e-05
98,18651.6,0.80086,0.44137,0.73789,1.09599,0.30287,0.25263,0.18253,0.08932,0.30287,0.25263,0.18226,0.08491,2.12544,0.59083,3.24006,2.18368,4.9625e-05,4.9625e-05,4.9625e-05
99,18789.3,0.8033,0.39092,0.74061,1.09984,0.31696,0.2476,0.17607,0.08369,0.31696,0.2476,0.1764,0.08189,2.14978,0.59672,3.25634,2.18152,3.725e-05,3.725e-05,3.725e-05
100,18921.2,0.79612,0.44356,0.69927,1.06596,0.30921,0.25204,0.18069,0.09097,0.30921,0.25204,0.18008,0.08835,2.11671,0.59623,3.25095,2.16124,2.4875e-05,2.4875e-05,2.4875e-05
